h1,h2,target
1.0,-1.6,-1.0
1.0,-1.4896551724137932,-1.0
1.0,-1.3793103448275863,-1.0
1.0,-1.2689655172413794,-1.0
1.0,-1.1586206896551725,-1.0
1.0,-1.0482758620689654,0.0
1.0,-0.9379310344827586,0.0
1.0,-0.8275862068965517,0.0
1.0,-0.7172413793103448,0.0
1.0,-0.6068965517241379,0.0
1.0,-0.4965517241379309,0.0
1.0,-0.386206896551724,0.0
1.0,-0.2758620689655171,0.0
1.0,-0.16551724137931023,0.0
1.0,-0.055172413793103336,0.0
1.0,0.05517241379310356,1.0
1.0,0.16551724137931045,1.0
1.0,0.27586206896551735,1.0
1.0,0.38620689655172424,1.0
1.0,0.49655172413793114,1.0
1.0,0.6068965517241383,1.0
1.0,0.7172413793103449,1.0
1.0,0.827586206896552,1.0
1.0,0.9379310344827587,1.0
1.0,1.0482758620689658,1.0
1.0,1.1586206896551725,1.0
1.0,1.2689655172413796,1.0
1.0,1.3793103448275863,1.0
1.0,1.4896551724137934,1.0
1.0,1.6,1.0
